name	maxdiscount
Adtumentor Direct 	0.70
Monjubin  	0.33
Tipzapover International 	0.02
Renipicator WorldWide 	0.67
Unpickewex  	0.86
Parsapax WorldWide 	0.52
Zeedimefantor International Company	0.65
Rapsipin Direct Inc	0.58
Rapweregicator International 	0.67
Adniponan  Corp.	0.57
Vartanicator  Group	0.61
Surkilimentor  Company	0.78
Rerobex  	0.00
Thrukilicex  	0.07
Inglibentor WorldWide 	0.49
Qwiwerpistor WorldWide 	0.04
Tipjubepover  	0.37
Unpebaquover Holdings 	0.75
Raptanonan  	0.82
Zeejubomman  	0.13
Endsipepazz Direct 	0.05
Trutumegantor WorldWide 	0.62
Vartumadax Direct Group	0.35
Zeetanazz International 	0.60
Ciptumeficator  Corp.	0.50
Qwierentor Direct 	0.04
Uppickentor  	0.18
Zeetanazz  	0.78
Dophupewex International 	0.63
Trujubax  Corp.	0.80
Monpebefazz WorldWide 	0.24
Winbanin Holdings Inc	0.62
Winhupex Holdings Company	0.61
Cipvenar Holdings Group	0.43
Cipjubaquistor  	0.24
Qwikilexin WorldWide 	0.05
Happickicator Direct 	0.55
Unmunexover Holdings 	0.43
Raphupinower  	0.24
Tupvenonax  	0.76
Unpickazz WorldWide 	0.63
Zeewerar Holdings 	0.03
Montanonor Direct Corp.	0.76
Thrupebinan Holdings 	0.87
Trudiminower  	0.04
Uneran International 	0.38
Remunopin  	0.47
Bartanollover WorldWide 	0.81
Monhupepower Direct Company	0.13
Supnipegistor Direct 	0.02
Truvenopantor  	0.57
Varbanower International 	0.62
Thrududover Direct Company	0.22
Qwicadegazz Holdings Group	0.08
Barquestan  Inc	0.07
Raptumedower  Inc	0.07
Adsipistor Direct 	0.07
Resapan  Company	0.41
Parsipicator  Company	0.05
Uppickax Holdings Inc	0.44
Supcadantor  Group	0.33
Zeepickimar WorldWide Corp.	0.87
Zeetinexower International 	0.20
Barsipicator WorldWide 	0.86
Barrobax  	0.59
Parquestor  Corp.	0.70
Barpebefentor Holdings Group	0.17
Endhupopor International 	0.56
Barglibedgover  	0.83
Tipbanin International 	0.58
Rapdudackower Holdings Group	0.49
Tupkilexower Direct 	0.50
Tipfropilentor Direct Corp.	0.70
Unroban Holdings Company	0.05
Qwigliban Direct 	0.50
Barnipistor  	0.02
Frowerpexentor Direct 	0.85
Upwerpanex Direct Inc	0.48
